aiannh_ce,aiannh_ns,aiannh_name,area_type,states
0010,01934337,Acoma Pueblo,reservation,NM
0020,01934324,Agua Caliente Indian Reservation,reservation,CA
0050,01350923,Alabama-Coushatta Reservation,reservation,TX
0080,00978667,Allegany Reservation,reservation,NY
0095,00218194,Alturas Indian Rancheria,reservation,CA
0110,01934114,Annette Island Reserve,reservation,AK
0115,02562463,Aroostook Band of Micmac Trust Land,reservation,ME
0120,00218454,Auburn Rancheria,reservation,CA
0125,00238830,Augustine Reservation,reservation,CA
0140,01577209,Bad River Reservation,reservation,WI
0155,00255962,Barona Reservation,reservation,CA
0165,00838653,Battle Mountain Reservation,reservation,NV
0170,01622234,Bay Mills Reservation,reservation,MI
0185,02419307,Benton Paiute Reservation,reservation,CA
0200,00256849,Berry Creek Rancheria,reservation,CA
0215,00256889,Big Bend Rancheria,reservation,CA
0225,01934321,Big Cypress Reservation,reservation,FL
0240,00219211,Big Lagoon Rancheria,reservation,CA
0250,00256983,Big Pine Reservation,reservation,CA
0265,01667416,Big Sandy Rancheria,reservation,CA
0275,00219277,Big Valley Rancheria,reservation,CA
0290,00264455,Bishop Reservation,reservation,CA
0305,00806895,Blackfeet Indian Reservation,reservation,MT
0325,02419316,Blue Lake Rancheria,reservation,CA
0335,02105053,Bois Forte Reservation,reservation,MN
0350,02419320,Bridgeport Reservation,reservation,CA
0360,00300151,Brighton Reservation,reservation,FL
0400,01118340,Burns Paiute Indian Colony,reservation,OR
0415,01985192,Cabazon Reservation,reservation,CA
0435,00270144,Cahuilla Reservation,reservation,CA
0440,00848690,Campbell Ranch,reservation,NV
0450,00270242,Campo Indian Reservation,reservation,CA
0495,00240225,Capitan Grande Reservation,reservation,CA
0510,00859157,Carson Colony,reservation,NV
0525,01233634,Catawba Reservation,reservation,SC
0540,00978804,Cattaraugus Reservation,reservation,NY
0555,00220808,Cedarville Rancheria,reservation,CA
0560,02419333,Celilo Village,reservation,OR
0575,01503930,Chehalis Reservation,reservation,WA
0585,00255956,Chemehuevi Reservation,reservation,CA
0605,01267254,Cheyenne River Reservation,reservation,SD
0620,02419337,Chicken Ranch Rancheria,reservation,CA
0635,02419340,Chitimacha Reservation,reservation,LA
0680,00937176,Pueblo de Cochiti,reservation,NM
0690,02418876,Coconut Creek Trust Land,reservation,FL
0695,00003089,Cocopah Reservation,reservation,AZ
0705,00395231,Coeur d'Alene Reservation,reservation,ID
0720,00276284,Cold Springs Rancheria,reservation,CA
0735,00022753,Colorado River Indian Reservation,reservation,AZ~CA
0750,02418877,Colusa Rancheria,reservation,CA
0760,01529464,Colville Reservation,reservation,WA
0770,02418879,"Coos, Lower Umpqua, and Siuslaw Reservation",reservation,OR
0775,02418881,Coquille Reservation,reservation,OR
0780,00221603,Cortina Indian Rancheria,reservation,CA
0795,00545438,Coushatta Reservation,reservation,LA
0815,02418898,Cow Creek Reservation,reservation,OR
0820,02772245,Cowlitz Reservation,reservation,WA
0825,01985199,Coyote Valley Reservation,reservation,CA
0845,00806896,Crow Reservation,reservation,MT
0855,01267067,Crow Creek Reservation,reservation,SD
0940,00862214,Dresslerville Colony,reservation,NV
0955,00222639,Dry Creek Rancheria,reservation,CA
0965,00858264,Duck Valley Reservation,reservation,ID~NV
0975,00845441,Duckwater Reservation,reservation,NV
0990,01018039,Eastern Cherokee Reservation,reservation,NC
1005,00856239,Elko Colony,other,NV
1010,01657318,Elk Valley Rancheria,other,CA
1040,00859672,Ely Reservation,other,NV
1055,00259950,Enterprise Rancheria,other,CA
1065,00241187,Ewiiaapaayp Reservation,other,CA
1070,00850495,Fallon Paiute-Shoshone Colony,other,NV
1075,00840414,Fallon Paiute-Shoshone Reservation,other,NV
1100,01934365,Flandreau Reservation,other,SD
1110,00806894,Flathead Reservation,other,MT
1125,00654521,Fond du Lac Reservation,other,MN~WI
1135,02418936,Forest County Potawatomi Community,other,WI
1140,00004741,Fort Apache Reservation,other,AZ
1150,00767938,Fort Belknap Reservation,other,MT
1160,01934325,Fort Berthold Reservation,other,ND
1170,00260275,Fort Bidwell Reservation,other,CA
1185,00399059,Fort Hall Reservation,other,ID
1195,00260277,Fort Independence Reservation,other,CA
1210,00859740,Fort McDermitt Indian Reservation,other,NV~OR
1220,00036978,Fort McDowell Yavapai Nation Reservation,other,AZ
1235,00024003,Fort Mojave Reservation,other,AZ~CA~NV
1250,00805884,Fort Peck Indian Reservation,other,MT
1260,02418940,Fort Pierce Reservation,other,FL
1270,02711352,Fort Sill Apache Indian Reservation,other,NM
1280,00242378,Fort Yuma Indian Reservation,other,AZ~CA
1310,00023998,Gila River Indian Reservation,other,AZ
1340,01455300,Goshute Reservation,other,NV~UT
1355,00654523,Grand Portage Reservation,other,MN
1365,02418950,Grand Ronde Community,other,OR
1370,02418951,Grand Traverse Reservation,other,MI
1380,01666180,Greenville Rancheria,other,CA
1395,00266781,Grindstone Indian Rancheria,other,CA
1400,00224709,Guidiville Rancheria,other,CA
1410,01616983,Hannahville Indian Community,other,MI
1440,00045638,Havasupai Reservation,other,AZ
1450,02418963,Ho-Chunk Nation Reservation,other,MN~WI
1460,01505548,Hoh Indian Reservation,other,WA
1475,00284183,Hollywood Reservation,other,FL
1490,00251972,Hoopa Valley Reservation,other,CA
1505,00024001,Hopi Reservation,other,AZ
1515,00225577,Hopland Rancheria,other,CA
1530,02418969,Houlton Maliseet Reservation,other,ME
1545,00045633,Hualapai Indian Reservation,other,AZ
1550,02109298,Huron Potawatomi Reservation,other,MI
1555,02418972,Immokalee Reservation,other,FL
1560,00243797,Inaja and Cosmit Reservation,other,CA
1575,02418973,Indian Township Reservation,other,ME
1590,00479831,Iowa (KS-NE) Reservation,other,KS~NE
1610,01616981,Isabella Reservation,other,MI
1625,01934338,Isleta Pueblo,other,NM
1640,00226085,Jackson Rancheria,other,CA
